Altium Designer Pick and Place Locations
C:\Users\Elio Fagundez\Documents\GitHub\dashcam\Hardware\Altium Files - Dashcam CPU\05.07.2024\Manufacturing\Assembly\Pick Place\Dashcam CPU_V1.0 A_A_2024-05-07.csv

========================================================================================================================
File Design Information:

Date:       07/05/24
Time:       10:24
Revision:   Not in VersionControl
Variant:    Base Variant
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1","CL05A106MQ5NUNC","BottomLayer","CAP_0402_CAPC1005X05N","25.0556","23.0410","0","Cap Ceramic 10uF 6.3V X5R 20% SMD 0402 85C T/R"
"C2","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","22.9728","17.4784","0","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C3","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","24.5730","16.3354","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C4","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","25.5382","16.3354","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C5","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","31.4056","19.7136","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C6","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","30.8722","20.9836","180","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C7","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","29.4244","23.0664","180","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C8","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","22.9870","22.8600","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C9","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","29.1196","20.3994","180","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C10","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","29.2720","19.0278","180","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C11","CL05A106MQ5NUNC","BottomLayer","CAP_0402_CAPC1005X05N","23.5316","19.0278","0","Cap Ceramic 10uF 6.3V X5R 20% SMD 0402 85C T/R"
"C12","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","24.5730","19.7390","270","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C13","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","25.4508","19.8120","270","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C14","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","24.5730","18.6468","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C15","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","25.4762","18.6182","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C16","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","29.0688","18.0626","0","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C17","LMK063BJ224MP-F","BottomLayer","CAP_0201_CAPC0603X03N","31.4056","18.3674","270","Multilayer Ceramic Capacitors (High dielectric type), 10V, 0.22 uF, ± 20 %, 0201, X5R, RoHS"
"C18","LMK063BJ224MP-F","BottomLayer","CAP_0201_CAPC0603X03N","23.7856","23.4982","0","Multilayer Ceramic Capacitors (High dielectric type), 10V, 0.22 uF, ± 20 %, 0201, X5R, RoHS"
"C19","CL05A106MQ5NUNC","BottomLayer","CAP_0402_CAPC1005X05N","26.5430","19.0246","180","Cap Ceramic 10uF 6.3V X5R 20% SMD 0402 85C T/R"
"C20","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","23.6078","18.0118","0","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C21","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","26.4272","18.0372","180","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C22","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","24.5730","17.4784","270","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C23","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","25.5382","17.4784","270","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C24","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","29.1958","15.9290","0","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C25","CL05A106MQ5NUNC","BottomLayer","CAP_0402_CAPC1005X05N","23.5824","21.0344","0","Cap Ceramic 10uF 6.3V X5R 20% SMD 0402 85C T/R"
"C26","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","24.5730","22.1012","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C27","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","25.5382","22.1012","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C28","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","23.6078","22.0504","0","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C29","CL05A106MQ5NUNC","BottomLayer","CAP_0402_CAPC1005X05N","26.5542","21.0344","180","Cap Ceramic 10uF 6.3V X5R 20% SMD 0402 85C T/R"
"C30","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","26.4780","22.0504","180","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
