Altium Designer Pick and Place Locations
C:\PCB_Projects\gridiron-dashcam-v2.0A\dashcam_v2.0E\Manufacturing\Assembly\Pick Place\Dashcam_V2.0E_E_2025-02-17.csv

========================================================================================================================
File Design Information:

Date:       17/02/25
Time:       22:04
Revision:   da23e97deb776c06a610ef88e46ec8fd4f1e9874
Variant:    Base Variant
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"BH1","BH600","BottomLayer","MECH_BATTERY_HOLDER_BH600","12.4000","54.3000","90","Battery Holder 1 Cells Thermoplastic Tray"
"C1","CL05A106MQ5NUNC","BottomLayer","CAP_0402_CAPC1005X05N","35.0556","38.0410","0","Cap Ceramic 10uF 6.3V X5R 20% SMD 0402 85C T/R"
"C2","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","32.9728","32.4784","0","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C3","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","34.5730","31.3354","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C4","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","35.5382","31.3354","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C5","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","41.4056","34.7136","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C6","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","40.8722","35.9836","180","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C7","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","39.4244","38.0664","180","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C8","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","32.9870","37.8600","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C9","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","39.1196","35.3994","180","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C10","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","39.2720","34.0278","180","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C11","CL05A106MQ5NUNC","BottomLayer","CAP_0402_CAPC1005X05N","33.5316","34.0278","0","Cap Ceramic 10uF 6.3V X5R 20% SMD 0402 85C T/R"
"C12","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","34.5730","34.7390","270","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C13","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","35.4508","34.8120","270","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C14","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","34.5730","33.6468","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C15","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","35.4762","33.6182","90","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C16","02016D105MAT2A","BottomLayer","CAP_0201_CAPC0603X03N","39.0688","33.0626","0","0201 1 uF 6.3 V ±20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"
"C17","LMK063BJ224MP-F","BottomLayer","CAP_0201_CAPC0603X03N","41.4056","33.3674","270","Multilayer Ceramic Capacitors (High dielectric type), 10V, 0.22 uF, ± 20 %, 0201, X5R, RoHS"
"C18","LMK063BJ224MP-F","BottomLayer","CAP_0201_CAPC0603X03N","33.7856","38.4982","0","Multilayer Ceramic Capacitors (High dielectric type), 10V, 0.22 uF, ± 20 %, 0201, X5R, RoHS"
